Qty,Value,Device,Package,Parts,Description,AVAILABILITY,CATEGORY,CREATED_BY,DESCRIPTION.1,DIGIKEY_PART_NUMBER,MANUFACTURER,MF,MP,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,OPERATING_TEMPERATURE,PACKAGE.1,PART_STATUS,PITCH,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SF_SKU,SPICEPREFIX,SUB-CATEGORY,THERMALLOSS,TYPE,VALUE.1,Column1
8,,DIODE-D-5,D-5,"D1, D2, D3, D4, D5, D6, D7, D8",DIODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,JP1Q,JP1,JP6,JUMPER,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
5,,LEDCHIP-LED0805,CHIP-LED0805,"LED1, LED2, LED3, LED4, LED7",LED,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,
2,,LEDCHIPLED_0805,CHIPLED_0805,"LED5, LED6",LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,SWITCH-SPDT-PTH-11.6X4.0MM-KIT,SWITCH_SPDT_PTH_11.6X4.0MM_KIT,S1,"Single Pole, Double Throw (SPDT) Switch",,,,,,,,,,,,,,,,,,,SWCH-08261,,,,,COM-00102,,,,,,
2,,W237-102,W237-102,"X1, X2",WAGO SCREW CLAMP,,,,,,,,,237-102,unknown,70K9898,,,,,,,,,,,,,,,,,,,
4,,W237-103,W237-103,"X3, X4, X5, X6",WAGO SCREW CLAMP,,,,,,,,,237-103,unknown,18M7116,,,,,,5,,,,,,,,,,,,,
1,1.21K,R-EU_R0805,R0805,R10,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,86,,,,,,,,R,,,,,
2,100nF,C-US050-024X044,C050-024X044,"C1, C2","CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100uF/50V,CPOL-EU153CLV-1010,153CLV-1010,"C3, C6","POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,0,,,,,,,,C,,,,,
4,1N4004,1N4004,DO-41,"D9, D10, D11, D12",DIODE GEN PURP 400V 1A DO41,,,PCBLayout.com,,1N4004MSCT-ND,Micro Commercial Co,,,1N4004,,,,,DO-41,,,,,,,,,,,,,,,,
2,1X2-3.5MM,1X2-3.5MM,1X2-3.5MM,"J2, J3",3.5mm Terminal block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1k,RESISTOR0805,0805,"R1, R2, R3, R4, R5, R6, R7, R8, R12",Generic Resistor Package,,,,,,,,,,,,,,,,,,, ,,,,,,,,,, ,
4,220uF/50V,CPOL-EU153CLV-1010,153CLV-1010,"C4, C5, C7, C8","POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,0,,,,,,,,C,,,,,
2,33uH/5A,INDUCTORPWR,CDRH125,"L1, L2",Inductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4k7,R-EU_R0805,R0805,"R11, R14","RESISTOR, European symbol",,,,,,,,,,,,,,,,,86,,,,,,,,R,,,,,
1,50k,TRIM_EU-S64W,S64W,R9,POTENTIOMETER,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
4,BC846,BC846,SOT23,"T1, T2, T3, T4",NPN TRANSISTOR,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
1,ESP32-DEVKITC-32U,ESP32-DEVKITC-32U,MODULE_ESP32-DEVKITC-32U,U1,ESP32-DEVKITC Check availability,In Stock,,, ESP32-WROOM-32UE series Transceiver," 802.11 b/g/n (Wi-Fi, WiFi, WLAN), Bluetooth® Smart Ready 4.x Dual Mode Evaluation Board ",,,Espressif Systems,ESP32-DEVKITC-32U,,,,,,CUSTOM-38 ESPRESSIF,,,,None,,https://pricing.snapeda.com/search?q=ESP32-DEVKITC-32U&ref=eda,,,,,,,,,
1,L298,L298,MULTIWATT-15,IC1,DUAL FULL-BRIDGE DRIVER,,,,,,,,,L298N,1589425,32M1527,,,,,,,,,,,,,,,,,,,
1,LM2596S,LM2596S,TO263-5,IC2,SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator,,,,,,,NATIONAL SEMICONDUCTOR,,LM2596S-ADJ/NOPB,9494367,41K3842,,,,,,12,,,,,,,,,,,,,
1,LM2596S5,LM2596S,TO263-5,IC3,SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator,,,,,,,NATIONAL SEMICONDUCTOR,,LM2596S-ADJ/NOPB,9494367,41K3842,,,,,,12,,,,,,,,,,,,,
2,MBRS340T3,MBRS340T3,SMC,"D13, D14","SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
1,PINHD-1X10,PINHD-1X10,1X10,JP3,PIN HEADER,,Headers,,"Header, Straight, 10 Position ",,Generic,,,Generic,,,,Generic,,Active,"0.100 (2.54mm)""",,,,,Generic,,Generic,,,"Headers, Male Pins",,"Board to Board or Cable, Unshrouded, Through Hole, Straight",,
1,PINHD-1X12,PINHD-1X12,1X12,JP1,PIN HEADER,,CONNECTOR,,,,,,,,,,,,,,,,,,,,,,,,PIN-HEADER,,,,
2,PINHD-2X4,PINHD-2X4,2X04,"JP4, JP5",PIN HEADER,,Headers,,"Header, Straight, 2x4 Position",,Generic,,,Generic,,,,Generic,,Active,"0.100 (2.54mm)""",,,,,Generic,,Generic,,,"Headers, Male Pins",,"Board to Board or Cable, Unshrouded, Through Hole, Straight",,
1,PINHD-2X8,PINHD-2X8,2X08,JP2,PIN HEADER,,CONNECTOR,,,,,,,,,,,,,,,,,,,,,,,,PIN-HEADER,,,,
4,RELAY-SPDT-JZC-11F,RELAY-SPDT-JZC-11F,RELAY-JZC,"K1, K2, K3, K4",SPDT Electromechanical Relay,,,,,,,,,,,,,,,,,,,COMP-09533,,,,,COM-00100,,,,,,
